,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,url
1905_4,0.0,0.0,0.0,0.0,0.002830570245023173,0.05805141624209614,0.0,0.0,0.0039550298085480485,0.0,0.0,0.009495607485892038,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/4.html
1905_5,0.0,0.0002241878138141334,0.0,0.0,0.011894346541515716,0.01476892609053034,0.0,0.0,0.05559829707720435,0.0,0.0,0.00807247891445941,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/5.html
1905_6,0.0,0.003016172759798111,0.0,0.0,0.0016804941777655764,0.0005259910646945483,0.0,0.0,0.0,0.0021568568438143664,0.03146518332745382,0.00026011951537294425,0.0,0.0050745294401137765,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/6.html
1905_7,0.0,0.017122998495540685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09399036797574492,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/7.html
1905_8,0.0,0.0,0.0,0.0,0.008743975971148857,0.0,0.0,0.0,0.0,0.0,0.001518882531377058,0.09017441631229814,0.0,3.8316688088055505e-05,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/8.html
1905_9,0.0,0.015069947190315574,0.0,0.0,0.0005192066561642353,0.0012554322525568707,0.0,0.0,0.00045768963147836136,0.037473132072686106,0.019093066288689103,0.0009079433540773805,0.0,0.005199096801444304,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/9.html
1905_10,0.0,0.0,0.0,0.0007825164909685595,0.017812245244397753,0.00045975102014254795,0.0,0.00023333859490077614,0.0,0.024166688585762906,0.0,0.003703474134810898,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/10.html
1905_11,0.0,0.0012651208077097422,0.0,0.0,0.06292313648935552,0.0,0.0,0.0,0.0,0.0002761996417300774,0.0005127220036692074,0.005536297163214019,0.0009236193843727363,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/11.html
1905_12,0.0004315646567246517,0.0,0.0,0.04526511069612066,0.0,0.02568127229564545,0.02872507757400833,0.0,0.008340832757383116,0.0,0.0035223794603254388,0.00944013006405906,0.0,0.0,0.022595079444301808,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/12.html
1905_13,0.0,0.023076799027608553,0.02720006229831384,3.741939142740747e-05,0.00846356917239209,0.0,0.0,0.0043253819053928584,0.0,0.0,0.0,0.0,0.0005288852366233151,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/13.html
1905_14,0.0,0.007440034695170997,0.0020831891102663543,0.0,0.010808914594176973,0.009458918238078933,0.0036443939989959885,0.0,0.0,0.0,0.0,0.014621457919564347,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/14.html
1905_15,0.0,0.0,0.0,0.06987712732736315,0.010326279756252228,0.027446521230706414,0.0,0.002944236777830365,0.008263463253658345,0.0,0.0,0.0,0.0,0.0,0.008747316583171096,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/15.html
1905_16,0.0006284727304439397,0.0,0.0,0.0037965883056153187,0.01183073438908372,0.0,0.0,0.0083436179599829,0.0016436193235609268,0.0,0.0,0.002848367910528968,0.0,0.002247949099932874,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/16.html
1905_17,0.0,0.0,0.01447139541934558,0.0,0.03190135367216023,0.0,0.017311067005313548,0.0,0.0,0.0,0.0,0.031137022614403032,0.0,0.0028509760082698543,0.005250451010059581,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/17.html
1905_18,0.0,0.0,0.0,0.015287170433745372,0.0,0.07851465909079511,0.0,0.0,0.0,0.0031470133189275655,0.0,0.0,0.015556795503655758,0.0,0.007212792725647811,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/18.html
1905_19,0.0,0.006116824423312983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013740980929513919,0.03532688705928761,0.0,0.0,0.005809645257662625,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/19.html
1905_20,0.0,0.0013322007632079566,0.06396617881105819,0.0,0.014707734275401535,0.0005323517122742403,0.006843548487639442,0.0,0.0003086556795091269,0.0,0.0,0.0013486102734847297,0.0,0.002923329950431463,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/20.html
