,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,url
1904_46,7.708486596757144e-05,0.0,0.0,0.0,0.026141505699725672,0.017980708199528527,0.0012112179586232013,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/46.html
1904_47,0.04315967459546113,0.004555747821062598,0.0,0.06253943404073799,0.0,0.0,0.0,0.03777569973818256,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/47.html
1904_48,0.0,0.0008672001163782048,0.0,0.0,0.026338403038745482,0.0,0.0,0.0,0.0012438955627257762,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/48.html
1904_49,0.0,0.0022557894369615067,0.0,0.0,0.023415835223613166,0.00019627410157397636,0.0,0.0,0.00083648092148371,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/49.html
1904_50,0.030598590037356106,0.0,0.0004959988734759374,0.04574946957933838,0.06958469163854962,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/50.html
1904_51,0.0,0.013211994396782716,0.0,0.0071384480614097995,0.01185107770264842,0.017100165499633595,0.0,0.05314574736266617,0.019731613560192027,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/51.html
1904_52,0.00035248719680434405,0.0,0.0,0.002074674182240218,0.012374523452672414,0.009315687326577326,0.0,0.0316280186449091,0.004359505522798423,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/52.html
1904_53,7.191842446274886e-05,0.0,0.0,0.00686490138791331,0.038015004138243845,0.00197633178425791,0.0,0.004995822007983547,0.004371951729385297,0.006423967059296711,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/53.html
1904_54,0.0007890611639767362,0.060755862335872504,0.0,0.0,0.0,0.004588071237470632,0.02355240470447442,0.013196765448745037,0.00784471939129396,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/54.html
1904_55,0.0,0.008244105359746354,0.0,0.0,0.04987735382059429,0.0037457365679645967,0.0,0.0017042976261010465,0.0,7.623488689984748e-05,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/55.html
