,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,url
1937_69,0.0,0.016969648224988063,0.0,0.0,0.0006082718162348792,0.0,0.0,0.0,0.0,0.024785075403913868,0.0,0.00016738771883530334,0.0,0.02200234022244469,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/69.html
1937_70,0.0,0.0,0.008518462977953238,1.8100923126074906e-05,0.0,0.0,0.0,0.0,0.006156020988983062,0.0,0.0028722059284173092,0.0,0.0,0.03346275196258087,0.005549464693725908,0.000526246788802126,0.025000257727411282,0.0,0.0,0.0001554629115516712,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/70.html
1937_71,0.005344778166688052,0.0,0.00295253059707565,0.005164305963795877,0.0,0.00964187955622168,0.0,0.0,0.012607121663403081,0.0,0.0,0.004972627671238844,0.0,0.007286698046941215,0.0,0.037822386481664375,0.0,0.0,0.0,0.019955134200945444,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/71.html
1937_72,0.05519408709305037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1107262829877209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012330755932064126,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/72.html
1937_73,0.0,0.0008312557117264274,0.0,0.0,0.0,0.0016401879231966307,0.0,0.0,0.06786734553505006,0.0,0.010680854685869734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02906617613714722,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/73.html
1937_74,0.0,0.046156079592283995,0.0,0.0,0.003075224698385432,0.0,0.0,0.0,0.005348156146559685,0.0343429094238322,0.0,0.0,0.0,0.007014198883423459,0.0,0.008701415446616357,0.0,0.0,0.0,0.0033498212457398137,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/74.html
1937_75,0.06068482252497614,0.0,0.007565672624357976,0.0,0.0,0.0,0.0036252251375932815,0.008231970434841819,0.015502841605828354,0.006151329459804374,0.0,0.0,0.0,0.003596648187862531,0.0,0.0,0.0,0.0,0.08575009522760471,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/75.html
1937_76,0.014255424129107746,0.0,0.002151525934725594,0.008773159824599792,0.0,0.03785466437708252,0.002489580837842677,0.0025611643808407815,0.0,0.0,0.0,0.010499307384758585,0.0,0.008675729930226113,0.002669374545708924,0.003746786543658107,0.0,0.0,0.0,0.004507143689288473,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/76.html
1937_77,0.0,0.019330097893479285,0.0018976433003435596,0.0,0.002793366482090756,0.0,0.0,0.0,0.0,0.05146602955362754,0.0025340228644481714,0.0011996096997753142,0.0,0.026554881258410375,0.007302781164520391,0.0,0.0,0.0,0.0,0.0002792186961068443,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/77.html
1937_78,0.0009625066605564001,0.0,0.0,0.0,0.003665062054537028,0.09080206013666192,0.0,0.0,0.006015046330326005,0.0,0.0,0.0,0.022679263042917352,0.0006832334102412208,0.001499391468551942,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/78.html
